age,date_account_created,date_first_booking,gender,Language_EN,Language_ZH,Country_US,Country_EUR,android,moweb,web,ios,Married,Children
37,5/4/2010,5/27/2010,F,1,0,1,0,1,0,1,0,1,1
43,5/8/2010,6/8/2010,U,1,0,1,0,1,0,1,0,1,1
33,5/13/2010,5/18/2010,M,1,0,0,1,0,1,1,0,1,1
31,5/21/2010,2/7/2011,M,1,0,1,0,1,0,1,0,1,1
38,5/26/2010,6/1/2010,F,1,0,1,0,1,0,1,0,0,1
64,5/27/2010,6/8/2010,U,1,0,0,1,0,1,1,0,1,1
45,5/28/2010,5/28/2010,F,1,0,1,0,0,1,1,0,1,2
39,6/3/2010,6/3/2010,M,1,0,0,1,1,0,1,0,1,1
46,6/5/2010,6/7/2010,U,1,0,1,0,0,1,1,0,1,1
36,6/13/2010,6/13/2010,U,1,0,1,0,0,1,1,0,1,1
5,6/14/2010,6/18/2010,U,1,0,1,0,0,1,1,0,0,0
37,6/25/2010,9/22/2010,U,1,0,1,0,1,0,1,0,0,3
26,6/25/2010,6/26/2010,U,1,0,0,1,0,1,1,0,0,1
67,7/1/2010,7/1/2010,F,1,0,1,0,1,0,1,0,1,1
28,7/1/2010,9/5/2010,F,1,0,1,0,1,0,1,0,1,1
35,7/2/2010,7/6/2010,M,1,0,1,0,1,0,1,0,1,1
67,7/2/2010,7/2/2010,M,1,0,1,0,1,0,1,0,0,1
34,7/5/2010,7/8/2010,U,1,0,0,0,1,0,1,0,0,3
28,7/8/2010,7/8/2010,U,1,0,1,0,1,0,1,0,0,1
32,7/13/2010,7/15/2010,M,1,0,0,1,0,1,1,0,1,1
57,7/16/2010,7/21/2010,U,1,0,0,0,1,0,1,0,1,1
48,7/20/2010,7/20/2010,U,1,0,1,0,1,0,1,0,1,1
65,7/20/2010,7/21/2010,U,1,0,1,0,1,0,1,0,0,1
41,7/20/2010,7/20/2010,F,1,0,1,0,1,0,1,0,1,3
31,7/21/2010,7/27/2010,F,1,0,1,0,1,0,1,0,1,1
48,7/23/2010,7/26/2010,M,1,0,1,0,1,0,1,0,0,1
60,7/24/2010,7/25/2010,M,1,0,0,1,1,0,1,0,1,1
34,7/25/2010,10/9/2010,F,1,0,0,1,0,1,1,0,1,2
32,7/26/2010,8/3/2010,F,1,0,1,0,0,1,1,0,1,1
18,7/27/2010,7/30/2010,M,1,0,0,1,0,1,1,0,0,0
31,7/29/2010,7/29/2010,M,1,0,1,0,0,1,1,0,1,3
33,7/31/2010,8/6/2010,F,1,0,0,1,0,1,1,0,1,2
39,8/3/2010,8/19/2010,F,1,0,1,0,0,1,1,0,1,1
29,8/5/2010,9/19/2010,M,1,0,1,0,0,1,1,0,1,2
28,8/11/2010,9/17/2010,U,1,0,1,0,0,1,1,0,1,1
28,8/13/2010,8/9/2011,F,1,0,1,0,0,1,1,0,0,3
34,8/15/2010,8/23/2010,M,1,0,0,1,1,0,1,0,1,1
34,8/24/2010,8/24/2010,F,1,0,1,0,0,1,1,0,1,1
5,8/29/2010,7/6/2011,F,1,0,1,0,0,1,1,0,0,0
29,9/5/2010,9/6/2010,F,1,0,1,0,0,1,1,0,1,1
18,9/10/2010,9/12/2010,U,1,0,1,0,1,0,1,0,0,0
29,9/12/2010,12/24/2010,F,1,0,0,1,1,0,1,0,1,2
32,9/12/2010,11/4/2010,F,1,0,1,0,1,0,1,0,1,1
48,9/17/2010,9/18/2010,M,1,0,1,0,0,1,1,0,0,1
30,9/19/2010,10/30/2010,F,1,0,0,1,1,0,1,0,1,1
19,9/19/2010,9/20/2010,U,1,0,1,0,1,0,1,0,0,0
42,9/20/2010,9/20/2010,F,1,0,1,0,1,0,1,0,1,3
67,9/22/2010,9/24/2010,M,1,0,1,0,0,1,1,0,1,1
39,9/27/2010,7/16/2011,M,1,0,1,0,1,0,1,0,0,2
31,9/28/2010,9/28/2010,U,1,0,0,1,1,0,1,0,1,3
28,10/1/2010,10/11/2010,M,1,0,1,0,1,0,1,0,1,3
35,10/12/2010,10/12/2010,F,1,0,0,0,1,0,1,0,1,2
32,10/14/2010,11/10/2010,M,1,0,0,0,0,1,1,0,1,1
36,10/15/2010,12/11/2010,F,1,0,1,0,1,0,1,0,1,1
30,10/16/2010,10/20/2010,F,1,0,1,0,1,0,1,0,1,1
28,10/19/2010,10/27/2010,M,1,0,1,0,1,0,1,0,1,2
63,10/25/2010,11/22/2010,F,1,0,1,0,1,0,1,0,1,1
63,10/29/2010,10/30/2010,M,1,0,1,0,1,0,1,0,1,1
30,10/31/2010,11/1/2010,F,1,0,1,0,1,0,1,0,0,2
60,10/31/2010,11/1/2010,M,1,0,1,0,1,0,1,0,0,2
38,10/31/2010,11/1/2010,U,1,0,1,0,1,0,1,0,1,1
105,11/4/2010,5/16/2011,U,1,0,1,0,1,0,1,0,1,2
32,11/9/2010,11/9/2010,F,1,0,0,1,1,0,1,0,1,3
31,11/10/2010,11/11/2010,U,1,0,1,0,1,0,1,0,1,2
33,11/17/2010,10/19/2011,M,1,0,1,0,0,1,1,0,1,3
18,11/19/2010,11/19/2010,U,1,0,1,0,1,0,1,0,0,0
33,11/20/2010,11/28/2010,M,1,0,1,0,0,1,1,0,0,3
35,11/20/2010,11/23/2010,F,1,0,1,0,1,0,1,0,1,3
32,11/27/2010,11/30/2010,F,1,0,0,1,1,0,1,0,1,2
39,11/27/2010,2/21/2011,F,1,0,0,0,0,1,1,0,1,3
33,12/1/2010,12/10/2010,F,1,0,1,0,0,1,1,0,1,3
43,12/1/2010,12/1/2010,U,1,0,1,0,1,0,1,0,1,2
32,12/5/2010,12/7/2010,M,1,0,1,0,0,1,1,0,1,1
29,12/7/2010,12/13/2010,U,1,0,1,0,1,0,1,0,1,1
54,12/8/2010,12/9/2010,F,1,0,1,0,0,1,1,0,0,2
37,12/10/2010,12/15/2010,U,1,0,0,0,1,0,1,0,1,1
33,12/14/2010,3/12/2011,F,1,0,0,0,1,0,1,0,1,1
105,12/15/2010,12/16/2010,F,1,0,1,0,1,0,1,0,1,1
18,12/15/2010,1/28/2011,F,1,0,1,0,1,0,1,0,0,0
35,12/20/2010,12/20/2010,F,1,0,1,0,0,1,1,0,1,1
36,12/29/2010,12/29/2010,F,1,0,1,0,1,0,1,0,1,1
41,12/30/2010,1/5/2011,U,1,0,0,0,1,0,1,0,0,1
50,1/2/2011,1/3/2011,U,1,0,1,0,1,0,1,0,1,1
31,1/4/2011,1/4/2011,F,1,0,1,0,1,0,1,0,1,1
25,1/8/2011,1/9/2011,F,1,0,1,0,1,0,1,0,1,1
30,1/8/2011,1/13/2011,F,1,0,0,1,0,1,1,0,1,2
40,1/11/2011,1/16/2011,F,1,0,1,0,1,0,1,0,0,2
52,1/11/2011,1/29/2011,F,1,0,1,0,1,0,1,0,1,1
28,1/12/2011,1/12/2011,M,1,0,1,0,1,0,1,0,1,1
29,1/16/2011,1/17/2011,U,0,0,1,0,1,0,1,0,0,2
52,1/23/2011,2/1/2011,F,1,0,1,0,1,0,1,0,1,1
31,1/23/2011,1/26/2011,M,1,0,0,1,1,0,1,0,1,1
34,1/25/2011,1/26/2011,U,1,0,0,0,1,0,1,0,1,1
32,1/27/2011,1/30/2011,M,1,0,1,0,0,1,1,0,1,3
32,1/28/2011,1/31/2011,F,1,0,0,1,0,1,1,0,1,2
48,1/30/2011,2/1/2011,F,1,0,1,0,1,0,1,0,1,1
44,2/8/2011,2/10/2011,F,1,0,1,0,1,0,1,0,1,1
48,2/9/2011,2/10/2011,U,1,0,1,0,1,0,1,0,1,3
54,2/10/2011,2/13/2011,F,1,0,0,0,1,0,1,0,1,1
26,2/19/2011,2/20/2011,U,1,0,0,1,1,0,1,0,1,1
28,2/20/2011,8/18/2011,M,1,0,1,0,1,0,1,0,1,1
31,2/20/2011,2/21/2011,F,1,0,1,0,1,0,1,0,0,1
24,2/25/2011,7/29/2011,M,1,0,1,0,0,1,1,0,1,2
33,2/26/2011,3/3/2011,F,1,0,1,0,0,1,1,0,0,1
50,2/27/2011,2/28/2011,F,1,0,1,0,1,0,1,0,1,2
41,2/27/2011,8/30/2011,F,1,0,1,0,1,0,1,0,1,3
34,2/28/2011,3/1/2011,F,1,0,1,0,0,1,1,0,1,1
31,3/3/2011,3/4/2011,U,1,0,1,0,0,1,1,0,1,1
39,3/4/2011,3/6/2011,F,1,0,1,0,1,0,1,0,1,1
39,3/4/2011,3/4/2011,U,1,0,1,0,0,1,1,0,1,2
39,3/7/2011,3/8/2011,F,1,0,1,0,1,0,1,0,1,1
37,3/8/2011,3/9/2011,U,1,0,1,0,1,0,1,0,1,2
30,3/9/2011,3/9/2011,M,1,0,1,0,0,1,1,0,1,1
27,3/10/2011,3/22/2011,F,1,0,1,0,1,0,1,0,1,2
29,3/12/2011,3/13/2011,F,1,0,1,0,1,0,1,0,1,1
34,3/13/2011,3/13/2011,M,1,0,0,1,1,0,1,0,1,1
35,3/14/2011,3/14/2011,U,0,0,0,1,0,1,1,0,1,3
45,3/15/2011,5/23/2011,F,1,0,0,0,1,0,1,0,1,1
37,3/21/2011,3/27/2011,M,1,0,0,1,1,0,1,0,0,3
48,3/23/2011,9/7/2011,F,1,0,1,0,1,0,1,0,1,1
30,3/23/2011,3/23/2011,M,1,0,0,1,0,1,1,0,1,1
29,3/23/2011,3/24/2011,U,1,0,1,0,0,1,1,0,1,1
30,3/24/2011,8/20/2011,M,1,0,1,0,1,0,1,0,1,3
34,3/25/2011,3/26/2011,U,1,0,1,0,0,1,1,0,1,1
36,3/28/2011,3/29/2011,U,1,0,1,0,1,0,1,0,1,3
72,3/28/2011,3/30/2011,F,1,0,1,0,1,0,1,0,0,2
74,3/29/2011,3/31/2011,F,1,0,1,0,1,0,1,0,1,2
34,4/3/2011,4/5/2011,F,1,0,1,0,1,0,1,0,1,1
32,4/10/2011,9/18/2011,M,1,0,0,1,1,0,1,0,1,1
19,4/11/2011,4/17/2011,U,1,0,0,1,0,1,1,0,0,0
60,4/11/2011,4/11/2011,U,1,0,1,0,1,0,1,0,1,2
33,4/11/2011,4/13/2011,U,1,0,1,0,0,1,1,0,1,1
30,4/12/2011,4/12/2011,F,1,0,1,0,1,0,1,0,1,2
32,4/14/2011,4/18/2011,M,1,0,1,0,1,0,1,0,1,3
47,4/15/2011,3/14/2012,F,1,0,0,0,0,1,1,0,1,1
36,4/15/2011,4/15/2011,M,1,0,1,0,0,1,1,0,1,3
26,4/18/2011,5/3/2011,U,1,0,1,0,0,1,1,0,1,2
31,4/18/2011,1/30/2012,F,1,0,1,0,1,0,1,0,1,1
28,4/22/2011,1/17/2012,U,1,0,1,0,1,0,1,0,1,1
105,4/24/2011,4/26/2011,U,1,0,1,0,1,0,1,0,1,1
30,4/26/2011,10/21/2011,U,1,0,1,0,0,1,1,0,1,3
23,4/29/2011,5/8/2011,F,1,0,0,1,1,0,1,0,1,3
34,5/2/2011,5/5/2011,F,1,0,0,1,1,0,1,0,1,1
72,5/3/2011,8/19/2011,F,1,0,1,0,1,0,1,0,0,1
44,5/7/2011,5/7/2011,M,1,0,1,0,1,0,1,0,1,1
34,5/8/2011,5/12/2011,U,1,0,0,1,1,0,1,0,1,2
34,5/10/2011,5/10/2011,M,1,0,0,0,1,0,1,0,1,1
35,5/10/2011,5/18/2011,U,1,0,0,1,1,0,1,0,1,2
24,5/13/2011,5/13/2011,F,1,0,0,1,1,0,1,0,1,1
33,5/14/2011,5/14/2011,U,1,0,1,0,1,0,1,0,1,3
48,5/15/2011,6/13/2011,M,1,0,1,0,0,1,1,0,1,3
52,5/15/2011,7/13/2011,M,1,0,0,1,1,0,1,0,0,1
31,5/17/2011,5/24/2011,M,1,0,0,0,0,1,1,0,1,1
43,5/17/2011,9/14/2011,U,1,0,1,0,1,0,1,0,0,3
28,5/17/2011,5/23/2011,M,1,0,1,0,1,0,1,0,0,1
30,5/17/2011,5/18/2011,F,1,0,0,0,0,1,1,0,1,3
35,5/18/2011,5/18/2011,M,1,0,0,0,1,0,1,0,0,1
43,5/18/2011,5/18/2011,M,1,0,1,0,1,0,1,0,1,2
31,5/24/2011,5/24/2011,F,1,0,0,1,0,1,1,0,0,3
29,5/24/2011,5/25/2011,U,1,0,0,0,0,1,1,0,0,1
25,5/26/2011,5/28/2011,F,1,0,0,0,0,1,1,0,1,1
45,5/29/2011,6/24/2011,M,1,0,0,0,0,1,1,0,1,3
65,5/30/2011,6/7/2011,F,1,0,1,0,1,0,1,0,0,1
42,5/30/2011,5/31/2011,M,1,0,1,0,1,0,1,0,1,2
41,6/6/2011,6/6/2011,U,1,0,1,0,0,1,1,0,1,3
28,6/6/2011,6/6/2011,U,1,0,1,0,1,0,1,0,1,1
36,6/6/2011,6/9/2011,F,1,0,1,0,1,0,1,0,1,3
34,6/8/2011,6/21/2011,U,1,0,0,0,1,0,1,0,1,2
19,6/9/2011,6/9/2011,U,1,0,1,0,0,1,1,0,0,0
29,6/10/2011,6/11/2011,F,1,0,1,0,0,1,1,0,1,1
32,6/10/2011,2/17/2012,U,1,0,1,0,1,0,1,0,1,1
41,6/11/2011,6/11/2011,U,1,0,1,0,1,0,1,0,1,1
27,6/13/2011,6/15/2011,M,1,0,0,1,0,1,1,0,1,1
37,6/14/2011,6/16/2011,M,1,0,0,1,0,1,1,0,1,1
27,6/16/2011,6/21/2011,U,1,0,1,0,0,1,1,0,1,1
2,6/16/2011,5/10/2012,U,1,0,0,0,0,1,1,0,0,0
30,6/23/2011,6/28/2011,M,1,0,1,0,1,0,1,0,0,1
35,6/23/2011,6/26/2011,M,1,0,0,1,1,0,1,0,1,1
36,6/28/2011,6/30/2011,F,1,0,1,0,1,0,1,0,1,1
36,6/28/2011,7/1/2011,M,1,0,0,0,1,0,1,0,1,1
27,6/29/2011,10/31/2011,M,1,0,1,0,1,0,1,0,1,3
51,6/29/2011,7/7/2011,M,1,0,0,0,1,0,1,0,1,1
60,6/30/2011,6/30/2011,F,1,0,0,1,1,0,1,0,1,3
42,7/1/2011,7/1/2011,M,1,0,1,0,1,0,1,0,1,1
27,7/6/2011,7/11/2011,M,1,0,0,1,1,0,1,0,1,1
33,7/6/2011,7/6/2011,U,1,0,1,0,1,0,1,0,0,2
27,7/7/2011,7/28/2011,M,1,0,0,1,1,0,1,0,1,1
48,7/7/2011,7/8/2011,M,1,0,1,0,1,0,1,0,0,3
36,7/9/2011,7/15/2011,F,1,0,1,0,1,0,1,0,1,1
32,7/9/2011,7/13/2011,F,1,0,0,1,0,1,1,0,1,1
60,7/10/2011,7/28/2011,M,1,0,1,0,1,0,1,0,0,1
51,7/11/2011,7/11/2011,F,1,0,1,0,0,1,1,0,1,1
32,7/12/2011,7/13/2011,U,1,0,1,0,1,0,1,0,1,2
31,7/13/2011,7/19/2011,M,1,0,0,1,0,1,1,0,1,1
31,7/13/2011,7/13/2011,M,1,0,0,1,1,0,1,0,1,1
29,7/13/2011,6/1/2012,F,1,0,1,0,0,1,1,0,1,1
37,7/14/2011,7/15/2011,M,1,0,1,0,1,0,1,0,0,1
54,7/14/2011,7/16/2011,M,1,0,1,0,0,1,1,0,0,1
67,7/15/2011,7/16/2011,M,1,0,1,0,1,0,1,0,1,1
61,7/16/2011,7/27/2011,M,1,0,1,0,1,0,1,0,1,2
38,7/16/2011,7/17/2011,M,1,0,0,1,1,0,1,0,0,1
40,7/16/2011,7/26/2011,F,1,0,1,0,1,0,1,0,1,1
78,7/16/2011,4/2/2012,M,1,0,1,0,1,0,1,0,1,1
40,7/17/2011,7/31/2011,F,1,0,0,1,1,0,1,0,1,2
36,7/17/2011,7/20/2011,F,1,0,1,0,1,0,1,0,0,3
65,7/17/2011,9/8/2011,F,1,0,1,0,1,0,1,0,0,1
63,7/18/2011,10/3/2011,U,1,0,1,0,1,0,1,0,0,1
38,7/18/2011,7/19/2011,M,1,0,1,0,1,0,1,0,1,2
33,7/19/2011,7/19/2011,F,1,0,0,0,0,1,1,0,1,1
53,7/19/2011,1/19/2012,U,1,0,0,1,1,0,1,0,1,1
41,7/20/2011,7/27/2011,U,1,0,1,0,1,0,1,0,1,1
43,7/23/2011,7/26/2011,F,1,0,1,0,0,1,1,0,1,3
18,7/26/2011,7/26/2011,F,1,0,1,0,1,0,1,0,0,0
30,7/26/2011,2/21/2012,M,1,0,1,0,0,1,1,0,1,1
29,7/27/2011,7/29/2011,F,1,0,1,0,0,1,1,0,1,1
28,7/28/2011,7/29/2011,F,1,0,1,0,0,1,1,0,1,1
59,7/28/2011,8/1/2011,F,1,0,1,0,1,0,1,0,0,1
32,7/28/2011,7/30/2011,M,1,0,1,0,0,1,1,0,0,2
25,7/28/2011,7/30/2011,M,1,0,1,0,1,0,1,0,0,2
44,7/29/2011,7/30/2011,F,1,0,1,0,0,1,1,0,1,2
30,7/29/2011,8/1/2011,M,1,0,1,0,1,0,1,0,0,2
33,7/30/2011,8/10/2011,F,1,0,1,0,1,0,1,0,0,1
55,7/30/2011,6/17/2012,M,0,0,1,0,1,0,1,0,1,3
51,7/30/2011,8/1/2011,M,1,0,1,0,0,1,1,0,1,2
38,7/3/2012,7/6/2012,M,1,0,1,0,0,1,1,0,0,1
18,8/1/2011,8/2/2011,M,1,0,0,1,1,0,1,0,0,0
33,8/2/2011,8/2/2011,F,1,0,1,0,1,0,1,0,1,1
33,8/2/2011,8/2/2011,F,1,0,0,0,1,0,1,0,1,3
37,8/4/2011,8/27/2011,M,1,0,1,0,1,0,1,0,1,1
59,8/5/2011,2/12/2012,F,1,0,1,0,1,0,1,0,1,1
41,8/5/2011,9/20/2011,F,1,0,1,0,0,1,1,0,1,2
51,8/5/2011,6/13/2012,F,1,0,1,0,1,0,1,0,1,1
27,8/6/2011,8/6/2011,F,1,0,0,1,0,1,1,0,0,1
46,8/6/2011,8/27/2011,F,1,0,1,0,1,0,1,0,1,1
32,8/7/2011,8/10/2011,F,1,0,1,0,1,0,1,0,1,1
64,8/9/2011,8/9/2011,F,1,0,1,0,0,1,1,0,1,2
38,8/9/2011,8/12/2011,U,1,0,1,0,0,1,1,0,1,1
35,8/10/2011,8/16/2011,F,1,0,0,0,1,0,1,0,1,1
36,8/10/2011,8/10/2011,F,1,0,1,0,1,0,1,0,1,2
32,8/10/2011,8/11/2011,U,1,0,0,1,1,0,1,0,1,1
52,8/11/2011,8/21/2011,U,1,0,1,0,1,0,1,0,1,2
34,8/11/2011,8/11/2011,F,1,0,1,0,1,0,1,0,1,1
29,8/11/2011,8/12/2011,M,1,0,1,0,1,0,1,0,1,1
27,8/12/2011,8/14/2011,F,1,0,1,0,0,1,1,0,0,1
24,8/13/2011,5/23/2012,F,1,0,1,0,1,0,1,0,1,3
27,8/14/2011,8/31/2011,F,1,0,0,0,0,1,1,0,1,3
29,8/15/2011,8/16/2011,M,1,0,1,0,0,1,1,0,1,3
36,8/15/2011,8/15/2011,F,1,0,0,1,1,0,1,0,1,2
34,8/15/2011,8/16/2011,F,1,0,1,0,1,0,1,0,1,1
26,8/16/2011,8/17/2011,M,1,0,0,0,0,1,1,0,0,1
51,8/16/2011,8/17/2011,F,1,0,1,0,1,0,1,0,1,3
31,8/17/2011,8/24/2011,U,1,0,0,1,1,0,1,0,1,1
28,8/17/2011,8/18/2011,M,1,0,1,0,1,0,1,0,1,1
32,8/17/2011,7/18/2012,F,1,0,1,0,0,1,1,0,1,1
105,8/17/2011,1/12/2012,M,1,0,1,0,1,0,1,0,1,1
42,8/18/2011,9/16/2011,M,1,0,1,0,0,1,1,0,1,3
19,8/18/2011,8/19/2011,U,1,0,0,0,1,0,1,0,0,0
28,8/18/2011,8/19/2011,U,1,0,1,0,1,0,1,0,0,1
37,8/19/2011,8/23/2011,F,1,0,1,0,1,0,1,0,1,1
44,8/19/2011,8/22/2011,F,1,0,0,0,0,1,1,0,0,2
31,8/19/2011,9/14/2011,F,1,0,1,0,1,0,1,0,0,1
34,8/19/2011,2/12/2012,F,1,0,0,1,0,1,1,0,1,1
38,8/19/2011,8/20/2011,F,1,0,1,0,0,1,1,0,1,3
32,8/21/2011,8/25/2011,M,1,0,0,1,1,0,1,0,1,1
34,8/22/2011,9/9/2011,U,1,0,1,0,1,0,1,0,1,1
26,8/22/2011,8/26/2011,M,0,0,1,0,0,1,1,0,1,2
35,8/23/2011,8/24/2011,M,1,0,1,0,1,0,1,0,1,2
69,8/25/2011,8/27/2011,F,1,0,1,0,0,1,1,0,1,1
30,8/25/2011,8/25/2011,F,1,0,1,0,1,0,1,0,1,1
35,8/26/2011,3/18/2012,F,1,0,1,0,1,0,1,0,1,1
48,8/26/2011,8/27/2011,U,1,0,0,0,1,0,1,0,0,1
38,8/26/2011,8/26/2011,M,1,0,1,0,0,1,1,0,1,1
49,8/26/2011,10/8/2011,F,1,0,1,0,1,0,1,0,1,1
41,8/26/2011,9/3/2011,F,1,0,1,0,1,0,1,0,0,3
47,8/27/2011,9/6/2011,M,1,0,1,0,0,1,1,0,1,2
27,8/28/2011,12/7/2011,F,1,0,1,0,1,0,1,0,1,2
58,8/28/2011,8/28/2011,M,1,0,1,0,1,0,1,0,0,1
26,8/29/2011,7/23/2012,M,1,0,1,0,0,1,1,0,1,1
61,8/30/2011,9/13/2011,F,1,0,0,1,1,0,1,0,0,1
42,8/31/2011,9/8/2011,M,1,0,0,1,0,1,1,0,1,1
27,8/31/2011,9/2/2011,M,1,0,1,0,0,1,1,0,1,1
29,9/1/2011,2/24/2012,M,1,0,0,0,0,1,1,0,1,1
28,9/2/2011,9/4/2011,F,1,0,1,0,0,1,1,0,1,3
69,9/2/2011,9/4/2011,F,0,0,1,0,0,1,1,0,0,3
32,9/3/2011,9/3/2011,F,1,0,1,0,1,0,1,0,0,1
24,9/3/2011,12/11/2011,F,1,0,0,1,1,0,1,0,0,1
37,9/3/2011,9/3/2011,F,1,0,1,0,1,0,1,0,1,1
37,9/3/2011,7/3/2012,F,1,0,1,0,1,0,1,0,1,1
46,9/5/2011,10/11/2011,F,1,0,1,0,0,1,1,0,1,2
39,9/6/2011,9/6/2011,F,1,0,1,0,1,0,1,0,1,1
32,9/6/2011,9/8/2011,U,1,0,1,0,1,0,1,0,1,1
28,9/6/2011,6/13/2012,F,1,0,1,0,0,1,1,0,1,2
45,9/6/2011,9/27/2011,M,1,0,0,0,1,0,1,0,1,1
26,9/6/2011,9/7/2011,F,1,0,1,0,0,1,1,0,1,1
41,9/7/2011,9/14/2011,F,1,0,1,0,1,0,1,0,1,1
33,9/7/2011,10/5/2011,U,1,0,1,0,1,0,1,0,1,3
37,9/8/2011,11/6/2011,M,1,0,0,1,1,0,1,0,1,1
43,9/8/2011,1/2/2012,M,1,0,1,0,0,1,1,0,0,3
26,9/9/2011,12/1/2011,F,1,0,1,0,0,1,1,0,0,1
26,9/9/2011,9/16/2011,F,1,0,1,0,1,0,1,0,1,1
41,9/9/2011,10/24/2011,F,1,0,1,0,1,0,1,0,1,1
65,9/9/2011,10/6/2011,F,1,0,1,0,1,0,1,0,1,1
44,9/10/2011,9/10/2011,F,1,0,1,0,1,0,1,0,1,1
27,9/10/2011,9/14/2011,F,1,0,1,0,1,0,1,0,1,2
36,9/10/2011,9/23/2011,F,1,0,0,1,1,0,1,0,0,1
27,9/10/2011,10/8/2011,F,1,0,1,0,1,0,1,0,1,1
27,9/10/2011,9/20/2011,M,1,0,0,1,0,1,1,0,1,2
18,9/13/2011,9/15/2011,M,1,0,0,1,1,0,1,0,0,0
45,9/14/2011,9/16/2011,F,1,0,1,0,1,0,1,0,1,2
46,9/15/2011,9/19/2011,U,1,0,1,0,1,0,1,0,1,1
26,9/17/2011,10/7/2011,M,1,0,1,0,1,0,1,0,0,1
31,9/17/2011,12/21/2011,F,1,0,0,0,1,0,1,0,1,3
30,9/18/2011,9/18/2011,F,1,0,1,0,1,0,1,0,1,1
42,9/18/2011,9/21/2011,F,1,0,0,0,1,0,1,0,1,1
36,9/19/2011,9/20/2011,F,1,0,1,0,0,1,1,0,1,1
26,9/20/2011,9/22/2011,F,1,0,1,0,0,1,1,0,0,3
44,9/20/2011,9/20/2011,F,1,0,1,0,0,1,1,0,1,1
35,9/20/2011,12/31/2011,F,1,0,1,0,1,0,1,0,1,1
38,9/20/2011,9/27/2011,M,1,0,1,0,1,0,1,0,1,1
35,9/20/2011,9/22/2011,F,1,0,1,0,0,1,1,0,1,2
2014,9/20/2011,9/20/2011,M,1,0,1,0,1,0,1,0,0,1
27,9/21/2011,9/21/2011,M,1,0,1,0,1,0,1,0,1,1
44,9/21/2011,9/24/2011,F,1,0,1,0,0,1,1,0,1,2
35,9/21/2011,9/23/2011,M,1,0,1,0,0,1,1,0,1,1
42,9/21/2011,11/13/2011,F,1,0,1,0,0,1,1,0,1,2
34,9/21/2011,10/8/2011,U,1,0,1,0,1,0,1,0,1,1
39,9/22/2011,9/23/2011,F,1,0,1,0,1,0,1,0,1,3
29,9/23/2011,6/27/2012,F,1,0,0,1,0,1,1,0,0,3
25,9/24/2011,8/22/2012,F,1,0,1,0,1,0,1,0,1,1
28,9/24/2011,7/26/2012,F,1,0,1,0,0,1,1,0,1,1
33,9/25/2011,9/25/2011,F,1,0,1,0,1,0,1,0,0,3
41,9/25/2011,10/2/2011,M,1,0,1,0,1,0,1,0,1,2
37,9/25/2011,9/26/2011,F,1,0,1,0,1,0,1,0,1,1
30,9/26/2011,1/17/2012,F,1,0,1,0,1,0,1,0,1,1
25,9/27/2011,10/3/2011,F,1,0,0,1,1,0,1,0,1,1
61,9/28/2011,7/8/2012,M,1,0,0,1,0,1,1,0,1,1
25,9/28/2011,10/29/2011,F,1,0,1,0,1,0,1,0,1,3
49,9/28/2011,9/29/2011,M,1,0,0,0,1,0,1,0,1,3
